mturk_id;exp_condition;time
A13JISCSJTKO0F;CONTROL-SIM-LD;2013-06-06 17:21:52
A3UOK7WMVFVHHE;TRAIN-SIM-LD;2013-06-06 17:21:14
A221I35W7LFIHI;TRAIN-XAB-LD;2013-06-06 17:20:59
A1UH396UOK0X9Z;TRAIN-SIM-LD;2013-06-06 17:16:50
A2ANYIYF6PV1T5;TRAIN-SIM-LD;2013-06-06 17:16:35
A26D2ZZKJW7BXR;TRAIN-SIM-LD;2013-06-06 17:15:49
A4E6WPQHB3DRX;TRAIN-XAB-LD;2013-06-06 17:15:44
A1DUH3RLI00YQM;CONTROL-SIM-LD;2013-06-06 17:14:22
A2ANYIYF6PV1T5;CONTROL-SIM-LD;2013-06-06 17:12:27
AIH0MIKKKAGYN;TRAIN-XAB-LD;2013-06-06 17:11:05
AXYCQBCA73GY0;TRAIN-XAB-HD;2013-06-06 17:10:26
ADQKTG5B8ZW1G;TRAIN-SIM-LD;2013-06-06 17:09:37
AEJ9YVMG4D8KV;TRAIN-XAB-HD;2013-06-06 17:08:41
A200MPSU1OKLIZ;CONTROL-SIM-LD;2013-06-06 17:08:09
A1HI470DAXFXA5;CONTROL-XAB-HD;2013-06-06 17:07:37
A3CISI4CO1LHVS;CONTROL-SIM-HD;2013-06-06 17:07:24
A5AKPVLM8I0WB;TRAIN-XAB-HD;2013-06-06 17:06:39
A269JSFR6BWAW3;CONTROL-SIM-HD;2013-06-06 17:05:54
A269JSFR6BWAW3;TRAIN-SIM-LD;2013-06-06 17:05:47
A2VU1KNFHQP7YM;TRAIN-SIM-HD;2013-06-06 17:05:38
APGX2WZ59OWDN;CONTROL-XAB-HD;2013-06-06 17:03:02
A1NM7ZPZ3NH412;TRAIN-SIM-LD;2013-06-06 17:02:47
A243WFHSDFVAON;TRAIN-XAB-HD;2013-06-06 17:02:30
A260EJW55KFZX7;TRAIN-XAB-HD;2013-06-06 17:02:21
A1R8LO8YXDJSMA;CONTROL-SIM-LD;2013-06-06 17:02:03
AOIK8K4X34LGR;TRAIN-XAB-HD;2013-06-06 17:00:46
A2O12H2JML1UYP;TRAIN-XAB-HD;2013-06-06 17:00:06
A2I9PUZT19ZBO8;CONTROL-XAB-LD;2013-06-06 16:59:50
A38AJN5580B8YE;CONTROL-XAB-LD;2013-06-06 16:57:35
A2PF99P3N2K5LE;TRAIN-SIM-HD;2013-06-06 16:56:35
AHV4U78TUUDKI;TRAIN-XAB-HD;2013-06-06 16:55:08
A1ZXA9517DY7BY;TRAIN-SIM-HD;2013-06-06 16:54:39
A35L8V3HM9OEKV;TRAIN-SIM-HD;2013-06-06 16:52:59
AS99I0I9Y1RDM;CONTROL-SIM-HD;2013-06-06 16:52:58
A31ZY7KUDA1MWS;TRAIN-SIM-LD;2013-06-06 16:52:04
A2MFJTP6IM97AP;CONTROL-SIM-LD;2013-06-06 16:51:34
A3P1968S126GMY;CONTROL-SIM-HD;2013-06-06 16:50:44
AHLDDQE9TB76O;CONTROL-XAB-LD;2013-06-06 16:50:07
A1U2MY29AQBWF1;CONTROL-SIM-HD;2013-06-06 16:50:07
AFMV8UA5U6AGX;CONTROL-XAB-HD;2013-06-06 16:49:11
A2NAABOSB0CQT5;CONTROL-XAB-LD;2013-06-06 16:48:34
AAICL10ND2YK3;CONTROL-XAB-HD;2013-06-06 16:46:44
A1PXH20WH4MFCS;CONTROL-SIM-HD;2013-06-06 16:44:44
A3IE6ATDKX6N1H;CONTROL-XAB-HD;2013-06-06 16:43:42
A3L2VS3998R77L;CONTROL-XAB-HD;2013-06-06 16:42:36
ATIA4HLCNE4RI;CONTROL-XAB-HD;2013-06-06 16:40:46
A1JOI9QG71NRFW;CONTROL-SIM-LD;2013-06-06 16:40:45
A1AS0LTDHF6E7W;TRAIN-SIM-LD;2013-06-06 16:39:34
A2Z1PL77ZDXLGL;TRAIN-SIM-HD;2013-06-06 16:38:22
A1XQMAG7JQ285G;CONTROL-XAB-HD;2013-06-06 16:35:02
A4PMD2O8IA52C;CONTROL-XAB-LD;2013-06-06 16:33:44
AFAWE4JWR9G84;TRAIN-SIM-HD;2013-06-06 16:33:29
A3TJ1XJ1FW8VKT;TRAIN-XAB-LD;2013-06-06 16:33:16
A3I2DL0PGIZWVT;TRAIN-XAB-LD;2013-06-06 16:32:36
A3KGAKDXR3A150;TRAIN-XAB-HD;2013-06-06 16:31:16
A2Z0I81HZYXPIL;TRAIN-SIM-LD;2013-06-06 16:30:07
A3KHJM0DTCJXZB;TRAIN-XAB-LD;2013-06-06 16:30:03
A6C4QNQZ1QTUG;CONTROL-XAB-LD;2013-06-06 16:28:05
AC5LU9TF9CTK9;TRAIN-SIM-HD;2013-06-06 16:27:45
A1IQV3QUWRA8G1;TRAIN-SIM-HD;2013-06-06 16:26:54
A2VIW5KZRTWTFU;CONTROL-XAB-LD;2013-06-06 16:26:28
AQ1BKN0DJQW1H;TRAIN-SIM-LD;2013-06-06 16:26:27
ATIA4HLCNE4RI;TRAIN-XAB-HD;2013-06-06 16:26:26
AQ1BKN0DJQW1H;CONTROL-XAB-LD;2013-06-06 16:26:06
A1X728BI75IWZV;CONTROL-XAB-HD;2013-06-06 16:25:09
AMJAP6BGF5LVM;TRAIN-SIM-HD;2013-06-06 16:24:55
A2SNCG0K167C0J;TRAIN-XAB-LD;2013-06-06 16:24:31
A3HLCR4YCHJWBI;CONTROL-SIM-LD;2013-06-06 16:24:27
A28L3Q9TPJAGRK;CONTROL-XAB-HD;2013-06-06 16:24:00
A44NRKPZABPBT;CONTROL-XAB-LD;2013-06-06 16:22:28
AC5LU9TF9CTK9;CONTROL-SIM-LD;2013-06-06 16:22:10
A80VSGAD9H8VE;CONTROL-SIM-LD;2013-06-06 16:20:45
A1C89HH916IBV6;TRAIN-XAB-LD;2013-06-06 16:19:13
A3MRGVTIY0MVD5;CONTROL-SIM-HD;2013-06-06 16:17:58
A1CWMVCUM04EU1;CONTROL-SIM-HD;2013-06-06 16:17:54
A14A8J5H98KLO6;TRAIN-XAB-HD;2013-06-06 16:16:50
A3MAIZOMVSHFZR;TRAIN-XAB-LD;2013-06-06 16:15:50
A3U74S280Z4B0;TRAIN-SIM-HD;2013-06-06 16:15:25
A3GPR8TTDAX01S;CONTROL-SIM-LD;2013-06-06 16:15:22
AYCHPTQRYDT7G;TRAIN-SIM-LD;2013-06-06 16:14:31
A2Z12P4CGG0N63;CONTROL-SIM-HD;2013-06-06 16:11:47
A3GPR8TTDAX01S;CONTROL-XAB-HD;2013-06-06 16:11:26
A1F8MOWCCVDIH2;CONTROL-XAB-HD;2013-06-06 16:10:51
AO7FM98CP90CL;TRAIN-XAB-HD;2013-06-06 16:10:37
A29VDPSSZF14XZ;CONTROL-XAB-HD;2013-06-06 16:10:10
A2WLGVXAVT2XTR;CONTROL-XAB-LD;2013-06-06 16:09:53
A3GPR8TTDAX01S;CONTROL-SIM-HD;2013-06-06 16:09:40
A3B5W4MFH7M6IF;CONTROL-SIM-LD;2013-06-06 16:09:17
A2XKK5A6UJMW4D;TRAIN-SIM-LD;2013-06-06 16:09:03
AUCLSU5PFLHYV;TRAIN-XAB-HD;2013-06-06 16:08:21
A3BXKJG15LVQTV;TRAIN-SIM-LD;2013-06-06 16:08:02
A1GTYHV8OYQQLV;CONTROL-SIM-LD;2013-06-06 16:07:54
A1G746AO9F06KW;CONTROL-SIM-LD;2013-06-06 16:07:21
AO5WJXJED5LQO;CONTROL-XAB-HD;2013-06-06 16:05:59
ANQ1L4JGRLPQ9;CONTROL-XAB-LD;2013-06-06 16:05:12
ACP5OSFS4WW3Y;CONTROL-XAB-HD;2013-06-06 16:05:08
A8028AFBBS29G;TRAIN-SIM-LD;2013-06-06 16:05:01
A669K8QT6PVVF;CONTROL-XAB-HD;2013-06-06 16:04:57
A2VJ68TCRS0GXL;CONTROL-SIM-HD;2013-06-06 16:04:30
A1M7E3PCWAASK9;CONTROL-SIM-HD;2013-06-06 16:03:06
A1HW17394KQL8H;TRAIN-SIM-HD;2013-06-06 16:02:04
A26EDNC5NDIJ3E;TRAIN-XAB-HD;2013-06-06 16:01:49
A1AJG4BGSRPC93;TRAIN-XAB-LD;2013-06-06 15:58:17
AUA0HE293PM30;TRAIN-XAB-LD;2013-06-06 15:56:17
A370MPTHYDCDKX;TRAIN-SIM-LD;2013-06-06 15:50:04
A2XH1XHGHM1HKQ;CONTROL-XAB-HD;2013-06-06 15:39:11
A1M3UI1TN20ORZ;CONTROL-SIM-HD;2013-06-06 15:19:30
A11T1LGIWPM9Z1;TRAIN-XAB-LD;2013-06-06 15:13:42
AND6DQZ62U6VV;TRAIN-XAB-LD;2013-06-06 15:12:22
