"","mturk_id","train_type","stim_type","xdist","block","V1"
"328","A1PNOIIYIW9NYA","TRAIN","LD",1,0,-0.107142857142857
"329","A1PNOIIYIW9NYA","TRAIN","LD",1,1,-0.216666666666667
"330","A1PNOIIYIW9NYA","TRAIN","LD",1,2,-0.166666666666667
"331","A1PNOIIYIW9NYA","TRAIN","LD",1,3,0.0357142857142856
"332","A1PNOIIYIW9NYA","TRAIN","LD",2,0,-0.0666666666666667
"333","A1PNOIIYIW9NYA","TRAIN","LD",2,1,3.14018491736755e-16
"334","A1PNOIIYIW9NYA","TRAIN","LD",2,2,0
"335","A1PNOIIYIW9NYA","TRAIN","LD",2,3,0.4
"339","A1UWEUI98JOBRI","TRAIN","HD",0,0,0.2
"340","A1UWEUI98JOBRI","TRAIN","HD",0,1,0.5
"341","A1UWEUI98JOBRI","TRAIN","HD",0,2,0.4
"342","A1UWEUI98JOBRI","TRAIN","HD",0,3,-0.0333333333333336
"343","A1UWEUI98JOBRI","TRAIN","HD",1,0,0.0142857142857141
"344","A1UWEUI98JOBRI","TRAIN","HD",1,1,0.233333333333333
"345","A1UWEUI98JOBRI","TRAIN","HD",1,2,0.142857142857143
"346","A1UWEUI98JOBRI","TRAIN","HD",1,3,-0.111111111111111
"347","A1UWEUI98JOBRI","TRAIN","HD",2,0,-0.4
"348","A1UWEUI98JOBRI","TRAIN","HD",2,1,0.166666666666667
"349","A1UWEUI98JOBRI","TRAIN","HD",2,2,-0.166666666666667
"350","A1UWEUI98JOBRI","TRAIN","HD",2,3,3.14018491736755e-16
"355","A1X57P8J15QI2X","TRAIN","HD",0,0,0.3
"356","A1X57P8J15QI2X","TRAIN","HD",0,1,0.2
"357","A1X57P8J15QI2X","TRAIN","HD",0,2,-0.357142857142858
"358","A1X57P8J15QI2X","TRAIN","HD",0,3,-0.166666666666667
"359","A1X57P8J15QI2X","TRAIN","HD",1,0,0.057142857142857
"360","A1X57P8J15QI2X","TRAIN","HD",1,1,0.273809523809524
"361","A1X57P8J15QI2X","TRAIN","HD",1,2,0.25
"362","A1X57P8J15QI2X","TRAIN","HD",1,3,0.0571428571428571
"363","A1X57P8J15QI2X","TRAIN","HD",2,0,0.166666666666667
"364","A1X57P8J15QI2X","TRAIN","HD",2,1,-0.5
"365","A1X57P8J15QI2X","TRAIN","HD",2,2,0.5
"366","A1X57P8J15QI2X","TRAIN","HD",2,3,0
"369","A1X728BI75IWZV","CONTROL","HD",0,0,0.2
"370","A1X728BI75IWZV","CONTROL","HD",0,1,0.1875
"371","A1X728BI75IWZV","CONTROL","HD",0,2,0.142857142857143
"372","A1X728BI75IWZV","CONTROL","HD",0,3,-0.5
"373","A1X728BI75IWZV","CONTROL","HD",1,0,-0.0714285714285716
"374","A1X728BI75IWZV","CONTROL","HD",1,1,0.125
"375","A1X728BI75IWZV","CONTROL","HD",1,2,-1.17756934401283e-16
"376","A1X728BI75IWZV","CONTROL","HD",1,3,-0.0535714285714287
"377","A1X728BI75IWZV","CONTROL","HD",2,0,0.2
"378","A1X728BI75IWZV","CONTROL","HD",2,1,-0.333333333333333
"379","A1X728BI75IWZV","CONTROL","HD",2,2,0.166666666666667
"380","A1X728BI75IWZV","CONTROL","HD",2,3,-0.15
"385","A1XQMAG7JQ285G","CONTROL","HD",0,0,0.333333333333333
"386","A1XQMAG7JQ285G","CONTROL","HD",0,1,0
"387","A1XQMAG7JQ285G","CONTROL","HD",0,2,0.125
"388","A1XQMAG7JQ285G","CONTROL","HD",0,3,0.375
"389","A1XQMAG7JQ285G","CONTROL","HD",1,0,-0.0333333333333334
"390","A1XQMAG7JQ285G","CONTROL","HD",1,1,0.25
"391","A1XQMAG7JQ285G","CONTROL","HD",1,2,-0.1125
"392","A1XQMAG7JQ285G","CONTROL","HD",1,3,0.1875
"393","A1XQMAG7JQ285G","CONTROL","HD",2,0,0.25
"394","A1XQMAG7JQ285G","CONTROL","HD",2,1,-0.0499999999999999
"395","A1XQMAG7JQ285G","CONTROL","HD",2,2,-0.5
"396","A1XQMAG7JQ285G","CONTROL","HD",2,3,0.333333333333333
"401","A1YINK9J7YOQYX","CONTROL","LD",0,0,-0.333333333333334
"402","A1YINK9J7YOQYX","CONTROL","LD",0,1,0.0833333333333332
"403","A1YINK9J7YOQYX","CONTROL","LD",0,2,-0.0833333333333333
"404","A1YINK9J7YOQYX","CONTROL","LD",0,3,0
"405","A1YINK9J7YOQYX","CONTROL","LD",1,0,0.0555555555555555
"406","A1YINK9J7YOQYX","CONTROL","LD",1,1,-0.188888888888889
"407","A1YINK9J7YOQYX","CONTROL","LD",1,2,0.0833333333333333
"408","A1YINK9J7YOQYX","CONTROL","LD",1,3,0.1875
"409","A1YINK9J7YOQYX","CONTROL","LD",2,0,-0.25
"410","A1YINK9J7YOQYX","CONTROL","LD",2,1,0
"411","A1YINK9J7YOQYX","CONTROL","LD",2,2,-0.666666666666667
"412","A1YINK9J7YOQYX","CONTROL","LD",2,3,-0.4
"417","A1ZJ2FQTML0ZO8","TRAIN","LD",0,0,0.25
"418","A1ZJ2FQTML0ZO8","TRAIN","LD",0,1,-0.0833333333333333
"419","A1ZJ2FQTML0ZO8","TRAIN","LD",0,2,-0.0833333333333335
"420","A1ZJ2FQTML0ZO8","TRAIN","LD",0,3,0.333333333333333
"421","A1ZJ2FQTML0ZO8","TRAIN","LD",1,0,-0.1875
"422","A1ZJ2FQTML0ZO8","TRAIN","LD",1,1,-0.0595238095238096
"423","A1ZJ2FQTML0ZO8","TRAIN","LD",1,2,0.0666666666666665
"424","A1ZJ2FQTML0ZO8","TRAIN","LD",1,3,0.104166666666667
"425","A1ZJ2FQTML0ZO8","TRAIN","LD",2,0,3.14018491736755e-16
"426","A1ZJ2FQTML0ZO8","TRAIN","LD",2,1,-0.666666666666667
"427","A1ZJ2FQTML0ZO8","TRAIN","LD",2,2,-0.25
"428","A1ZJ2FQTML0ZO8","TRAIN","LD",2,3,-0.5
"432","A22JGOL6W0YDSX","CONTROL","LD",0,0,0.125
"433","A22JGOL6W0YDSX","CONTROL","LD",0,1,0.416666666666667
"434","A22JGOL6W0YDSX","CONTROL","LD",0,2,0.375
"435","A22JGOL6W0YDSX","CONTROL","LD",0,3,0.125
"436","A22JGOL6W0YDSX","CONTROL","LD",1,0,-0.125
"437","A22JGOL6W0YDSX","CONTROL","LD",1,1,-0.25
"438","A22JGOL6W0YDSX","CONTROL","LD",1,2,-0.0178571428571428
"439","A22JGOL6W0YDSX","CONTROL","LD",1,3,-0.0208333333333335
"440","A22JGOL6W0YDSX","CONTROL","LD",2,0,-0.2
"441","A22JGOL6W0YDSX","CONTROL","LD",2,1,3.14018491736755e-16
"442","A22JGOL6W0YDSX","CONTROL","LD",2,2,3.14018491736755e-16
"443","A22JGOL6W0YDSX","CONTROL","LD",2,3,3.14018491736755e-16
